         17603381 function calls (16933937 primitive calls) in 69.669 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      381    0.004    0.000    0.175    0.000 enum.py:863(_create_)
       11    0.001    0.000    0.175    0.016 linalg.py:1(<module>)
41334/41106    0.170    0.000    0.173    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.172    0.172 lipschitz_optimization.py:1(<module>)
     4208    0.008    0.000    0.171    0.000 tf_decorator.py:308(__init__)
        2    0.000    0.000    0.170    0.085 bayesian_optimization.py:1(<module>)
      514    0.004    0.000    0.170    0.000 PlotItem.py:1153(setTitle)
        2    0.000    0.000    0.169    0.084 while_loop.py:1(<module>)
        2    0.000    0.000    0.168    0.084 strict_mode.py:1(<module>)
        1    0.000    0.000    0.167    0.167 strict_mode.py:46(__init__)
     8817    0.029    0.000    0.167    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     4409    0.013    0.000    0.165    0.000 artist.py:1461(get_valid_values)
        2    0.000    0.000    0.165    0.083 interactiveshell.py:1(<module>)
  148/132    0.000    0.000    0.165    0.001 __init__.py:77(__getattr__)
        2    0.000    0.000    0.164    0.082 cond.py:1(<module>)
    89902    0.102    0.000    0.164    0.000 tokenize.py:569(_generate_tokens_from_c_tokenizer)
    18/10    0.000    0.000    0.164    0.016 _ops.py:251(__init__)
      636    0.002    0.000    0.164    0.000 _parser.py:969(parse)
    16608    0.051    0.000    0.164    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.162    0.162 scan.py:1(<module>)
      514    0.008    0.000    0.162    0.000 LabelItem.py:35(setText)
 1840/636    0.008    0.000    0.160    0.000 _parser.py:452(_parse_sub)
        6    0.000    0.000    0.158    0.026 distributed.py:1(<module>)
        2    0.000    0.000    0.158    0.079 activations.py:1(<module>)
 2722/753    0.060    0.000    0.157    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.155    0.155 cache_warming.py:1(<module>)
      541    0.055    0.000    0.155    0.000 signature_analyzer.py:146(_parse_docstring)
    81226    0.088    0.000    0.155    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      516    0.001    0.000    0.154    0.000 signature_analyzer.py:139(_parse_ast_docstring)
        2    0.000    0.000    0.154    0.077 custom_batching.py:1(<module>)
     8233    0.007    0.000    0.153    0.000 inspect.py:856(getdoc)
       10    0.000    0.000    0.150    0.015 linear.py:1(<module>)
      839    0.007    0.000    0.149    0.000 dataclasses.py:568(_init_fn)
     1888    0.004    0.000    0.148    0.000 __init__.py:2389(distributions_from_metadata)
 5160/185    0.004    0.000    0.146    0.001 __init__.py:737(cmdline)
3395/2271    0.002    0.000    0.145    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.145    0.145 _dtensor_spec.py:1(<module>)
        1    0.000    0.000    0.145    0.145 mesh.py:1(<module>)
        1    0.000    0.000    0.144    0.144 placement_types.py:1(<module>)
        2    0.000    0.000    0.144    0.072 xla_bridge.py:1(<module>)
        1    0.000    0.000    0.143    0.143 parameter_form_manager.py:1(<module>)
    12523    0.006    0.000    0.143    0.000 pathlib.py:1081(glob)
        4    0.000    0.000    0.142    0.036 _solve.py:1(<module>)
     1083    0.052    0.000    0.139    0.000 __init__.py:355(namedtuple)
        4    0.001    0.000    0.135    0.034 __init__.py:901(entry_points)
   627512    0.135    0.000    0.135    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.135    0.135 widget_strategies.py:1(<module>)
      479    0.033    0.000    0.134    0.000 feedparser.py:469(_parse_headers)
     2388    0.074    0.000    0.134    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.132    0.132 _collective_utils.py:1(<module>)
        6    0.000    0.000    0.132    0.022 dtypes.py:1(<module>)
    21532    0.094    0.000    0.131    0.000 inspect.py:2998(__init__)
        1    0.001    0.001    0.131    0.131 RawImageWidget.py:1(<module>)
     2820    0.005    0.000    0.130    0.000 pathlib.py:1005(open)
        1    0.000    0.000    0.129    0.129 _type_map.py:1(<module>)
        1    0.000    0.000    0.128    0.128 ragged_array_ops.py:1(<module>)
     2233    0.014    0.000    0.127    0.000 typing.py:687(Union)
    13969    0.010    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1812    0.006    0.000    0.124    0.000 _itertools.py:4(unique_everseen)
     1940    0.029    0.000    0.123    0.000 PlotCurveItem.py:211(dataBounds)
        1    0.000    0.000    0.123    0.123 _core.py:162(default_initialisation)
        1    0.000    0.000    0.123    0.123 _core.py:112(select_backend)
        1    0.000    0.000    0.123    0.123 _core.py:24(select_device)
        1    0.123    0.123    0.123    0.123 {built-in method pyclesperanto._pyclesperanto.set_backend}
        1    0.000    0.000    0.123    0.123 contour.py:1(<module>)
        1    0.000    0.000    0.122    0.122 _concrete.py:1(<module>)
   422701    0.086    0.000    0.122    0.000 ast.py:257(iter_fields)
        1    0.000    0.000    0.122    0.122 io_ops.py:1(<module>)
      5/3    0.000    0.000    0.121    0.040 __init__.py:416(__getattr__)
     3910    0.003    0.000    0.121    0.000 tf_export.py:254(__init__)
     7241    0.061    0.000    0.121    0.000 enum.py:254(__set_name__)
        8    0.000    0.000    0.120    0.015 context.py:1(<module>)
        9    0.000    0.000    0.120    0.013 text.py:1(<module>)
        1    0.000    0.000    0.120    0.120 ragged_math_ops.py:1(<module>)
        1    0.001    0.001    0.119    0.119 _continuous_distns.py:1(<module>)
    15222    0.012    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    15614    0.007    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
    22633    0.030    0.000    0.118    0.000 ast.py:419(visit_Constant)
     3910    0.118    0.000    0.118    0.000 tf_export.py:276(_validate_symbol_names)
        1    0.000    0.000    0.117    0.117 gen_io_ops.py:1(<module>)
    17071    0.006    0.000    0.116    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.115    0.115 backend_bases.py:1(<module>)
        4    0.000    0.000    0.115    0.029 application.py:1(<module>)
        1    0.000    0.000    0.114    0.114 __init__.py:636(_build_master)
        1    0.000    0.000    0.114    0.114 __init__.py:622(__init__)
    13112    0.010    0.000    0.112    0.000 contextlib.py:132(__enter__)
      384    0.050    0.000    0.112    0.000 signature_analyzer.py:865(_extract_class_source_from_file)
      108    0.002    0.000    0.112    0.001 _distn_infrastructure.py:1800(__init__)
